ideology,stance
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,Yes
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,No
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Conservative,Not sure
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,Yes
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,No
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Moderate,Not sure
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,Yes
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,No
Liberal,Not sure
Liberal,Not sure
Liberal,Not sure
Liberal,Not sure
Liberal,Not sure
Liberal,Not sure
Liberal,Not sure
Liberal,Not sure
Liberal,Not sure
